[Sun Oct 26 23:02:30.059433 2014] [authz_core:error] [pid 5500:tid 840] [client 127.0.0.1:50082] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue Feb 03 15:01:44.152533 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49361] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:01:51.041927 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49363] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:01:51.042927 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49362] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:01:51.044928 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49364] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:01:51.046928 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49365] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:01:51.050928 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49366] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:01.355517 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49369] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:01.356517 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49369] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:01.356517 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49368] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:14.224253 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49367] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:14.225253 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49367] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:14.227254 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49371] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:30.660193 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49372] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:30.660193 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49370] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:30.663194 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49373] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/logs/
[Tue Feb 03 15:02:31.453239 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49372] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:31.454239 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49370] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:31.455239 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49373] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue Feb 03 15:02:34.204396 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49373] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:34.206396 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49372] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:34.207396 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49375] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:34.207396 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49370] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:34.208396 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49374] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:40.363748 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49376] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:40.363748 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49377] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:40.367749 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49374] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:40.367749 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49378] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:40.368749 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49379] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:42.776886 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49376] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/Content/
[Tue Feb 03 15:02:42.787887 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49379] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/Content/
[Tue Feb 03 15:02:42.788887 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49378] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/Content/
[Tue Feb 03 15:02:42.790887 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49374] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/Content/
[Tue Feb 03 15:02:47.247142 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49374] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:47.248142 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49376] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:47.254143 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49378] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:47.255143 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49379] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:02:47.256143 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49374] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:00.769916 2015] [authz_core:error] [pid 5396:tid 828] [client 127.0.0.1:49388] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:00.769916 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49386] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:00.770916 2015] [authz_core:error] [pid 5396:tid 816] [client 127.0.0.1:49385] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:00.770916 2015] [authz_core:error] [pid 5396:tid 836] [client 127.0.0.1:49389] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:00.770916 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49387] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:10.522473 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49393] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:10.523473 2015] [authz_core:error] [pid 5396:tid 816] [client 127.0.0.1:49394] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:10.523473 2015] [authz_core:error] [pid 5396:tid 848] [client 127.0.0.1:49393] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:10.523473 2015] [authz_core:error] [pid 5396:tid 824] [client 127.0.0.1:49392] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue Feb 03 15:03:10.524474 2015] [authz_core:error] [pid 5396:tid 852] [client 127.0.0.1:49390] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:25:39.695432 2015] [authz_core:error] [pid 4152:tid 864] [client 127.0.0.1:49309] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Feb 04 10:25:39.771436 2015] [authz_core:error] [pid 4152:tid 864] [client 127.0.0.1:49309] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Feb 04 10:25:39.869442 2015] [authz_core:error] [pid 4152:tid 864] [client 127.0.0.1:49309] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Feb 04 10:26:32.754467 2015] [authz_core:error] [pid 4152:tid 864] [client 127.0.0.1:49321] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:26:32.755467 2015] [authz_core:error] [pid 4152:tid 860] [client 127.0.0.1:49322] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:26:32.756467 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49323] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:26:42.499024 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49324] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:26:42.541027 2015] [authz_core:error] [pid 4152:tid 864] [client 127.0.0.1:49325] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:26:42.542027 2015] [authz_core:error] [pid 4152:tid 860] [client 127.0.0.1:49326] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:26:42.542027 2015] [authz_core:error] [pid 4152:tid 852] [client 127.0.0.1:49327] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:26:42.549027 2015] [authz_core:error] [pid 4152:tid 848] [client 127.0.0.1:49328] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:28:46.425112 2015] [authz_core:error] [pid 4152:tid 844] [client 127.0.0.1:49335] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:28:46.426113 2015] [authz_core:error] [pid 4152:tid 860] [client 127.0.0.1:49336] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:28:46.427113 2015] [authz_core:error] [pid 4152:tid 848] [client 127.0.0.1:49337] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Feb 04 10:29:40.767221 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49354] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Wed Feb 04 10:29:40.768221 2015] [authz_core:error] [pid 4152:tid 844] [client 127.0.0.1:49355] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Wed Feb 04 10:29:40.768221 2015] [authz_core:error] [pid 4152:tid 848] [client 127.0.0.1:49356] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Wed Feb 04 10:34:30.666802 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49357] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:34:30.668802 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49357] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:34:30.669802 2015] [authz_core:error] [pid 4152:tid 856] [client 127.0.0.1:49357] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:34:30.671802 2015] [authz_core:error] [pid 4152:tid 844] [client 127.0.0.1:49359] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Feb 04 10:34:30.674802 2015] [authz_core:error] [pid 4152:tid 848] [client 127.0.0.1:49358] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Wed Mar 25 00:04:07.291688 2015] [authz_core:error] [pid 4848:tid 832] [client 127.0.0.1:50702] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:04:07.291688 2015] [authz_core:error] [pid 4848:tid 844] [client 127.0.0.1:50703] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:04:07.292688 2015] [authz_core:error] [pid 4848:tid 828] [client 127.0.0.1:50706] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:05:00.234315 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50745] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:05:00.235315 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50745] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:05:00.237315 2015] [authz_core:error] [pid 4848:tid 828] [client 127.0.0.1:50747] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:05:04.659568 2015] [authz_core:error] [pid 4848:tid 828] [client 127.0.0.1:50747] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Wed Mar 25 00:05:04.661569 2015] [authz_core:error] [pid 4848:tid 828] [client 127.0.0.1:50747] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Wed Mar 25 00:05:04.664569 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50745] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Wed Mar 25 00:05:04.664569 2015] [authz_core:error] [pid 4848:tid 844] [client 127.0.0.1:50748] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Wed Mar 25 00:05:04.666569 2015] [authz_core:error] [pid 4848:tid 832] [client 127.0.0.1:50749] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJSDemos/
[Wed Mar 25 00:06:13.336496 2015] [authz_core:error] [pid 4848:tid 804] [client 127.0.0.1:50769] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:06:13.337497 2015] [authz_core:error] [pid 4848:tid 824] [client 127.0.0.1:50768] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:06:13.342497 2015] [authz_core:error] [pid 4848:tid 824] [client 127.0.0.1:50768] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Wed Mar 25 00:07:08.246637 2015] [authz_core:error] [pid 4848:tid 824] [client 127.0.0.1:50792] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:07:08.247637 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50791] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:07:08.255638 2015] [authz_core:error] [pid 4848:tid 804] [client 127.0.0.1:50793] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:14:12.476902 2015] [authz_core:error] [pid 4848:tid 832] [client 127.0.0.1:50881] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:14:12.477902 2015] [authz_core:error] [pid 4848:tid 844] [client 127.0.0.1:50880] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:14:12.480902 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50882] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Wed Mar 25 00:14:15.173056 2015] [authz_core:error] [pid 4848:tid 844] [client 127.0.0.1:50880] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
[Wed Mar 25 00:14:15.174056 2015] [authz_core:error] [pid 4848:tid 832] [client 127.0.0.1:50881] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
[Wed Mar 25 00:14:15.174056 2015] [authz_core:error] [pid 4848:tid 812] [client 127.0.0.1:50882] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
[Tue May 19 18:16:00.936871 2015] [authz_core:error] [pid 172:tid 868] [client 127.0.0.1:51684] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:00.937871 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51683] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:00.938871 2015] [authz_core:error] [pid 172:tid 864] [client 127.0.0.1:51685] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:49.840668 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51707] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:49.841669 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:51706] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:49.843669 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51707] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:59.760236 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51715] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:59.762236 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:51716] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:16:59.762236 2015] [authz_core:error] [pid 172:tid 868] [client 127.0.0.1:51718] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/
[Tue May 19 18:17:01.448332 2015] [authz_core:error] [pid 172:tid 868] [client 127.0.0.1:51718] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJs/
[Tue May 19 18:17:01.449332 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:51716] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJs/
[Tue May 19 18:17:01.449332 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51715] AH01630: client denied by server configuration: C:/Apache24, referer: http://localhost/AngularJs/
[Tue May 19 18:17:10.776866 2015] [authz_core:error] [pid 172:tid 868] [client 127.0.0.1:51732] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue May 19 18:17:10.776866 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:51731] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue May 19 18:17:10.780866 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:51733] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/
[Tue May 19 18:24:55.184928 2015] [authz_core:error] [pid 172:tid 864] [client 127.0.0.1:52004] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue May 19 18:24:55.184928 2015] [authz_core:error] [pid 172:tid 868] [client 127.0.0.1:52006] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue May 19 18:24:55.185928 2015] [authz_core:error] [pid 172:tid 852] [client 127.0.0.1:52008] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue May 19 18:24:55.186928 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:52005] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue May 19 18:24:55.187928 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:52007] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJSDemos/
[Tue May 19 18:25:00.284219 2015] [authz_core:error] [pid 172:tid 872] [client 127.0.0.1:52007] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
[Tue May 19 18:25:00.284219 2015] [authz_core:error] [pid 172:tid 856] [client 127.0.0.1:52005] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
[Tue May 19 18:25:00.284219 2015] [authz_core:error] [pid 172:tid 852] [client 127.0.0.1:52008] AH01630: client denied by server configuration: C:/Apache24, referer: http://angularjs/AngularJs/
